ph,chlorine,hardness,nitrate,label
6.51,0.84,221.3,38.28,Caution
7.38,3.27,172.8,0.0,Caution
7.67,1.13,59.4,3.06,Safe
7.34,0.99,79.3,3.42,Safe
6.96,2.51,357.2,6.93,Caution
6.31,2.21,258.4,13.94,Caution
6.54,0.07,349.9,29.01,Unsafe
7.16,3.47,169.3,30.59,Caution
7.21,1.39,90.2,2.69,Safe
9.86,3.93,315.4,80.53,Unsafe
4.89,5.08,543.9,74.65,Unsafe
7.24,1.01,62.6,4.62,Safe
6.97,1.02,59.3,3.14,Safe
7.13,0.75,127.8,8.6,Safe
7.18,1.12,68.0,0.0,Safe
9.4,4.4,333.2,36.27,Unsafe
5.56,0.07,455.8,33.25,Unsafe
4.93,0.12,366.4,22.83,Unsafe
6.33,0.02,436.1,86.76,Unsafe
7.29,1.26,84.3,3.26,Safe
9.12,0.0,408.6,36.39,Unsafe
6.13,0.06,317.6,58.5,Unsafe
5.64,3.52,228.4,51.17,Unsafe
6.8,0.94,242.7,26.53,Caution
7.1,1.32,259.6,21.85,Caution
7.79,1.15,48.3,6.47,Safe
5.06,3.86,492.7,87.22,Unsafe
6.7,1.17,111.0,3.36,Safe
5.51,0.09,404.7,42.65,Unsafe
5.99,0.09,456.0,71.32,Unsafe
6.12,0.06,352.9,74.79,Unsafe
5.49,3.29,211.2,27.81,Unsafe
8.16,1.2,61.6,6.77,Safe
7.01,1.86,308.4,34.26,Caution
9.75,3.8,416.4,47.19,Unsafe
7.4,1.14,42.1,2.06,Safe
8.31,3.63,638.4,58.68,Unsafe
7.39,0.61,75.6,5.27,Safe
6.46,1.21,66.3,8.66,Unsafe
6.82,1.2,73.0,6.64,Safe
7.48,0.84,79.9,0.0,Safe
6.83,1.19,88.3,4.04,Safe
5.06,0.13,408.2,59.35,Unsafe
6.29,1.69,155.3,26.24,Caution
7.66,0.93,225.5,31.55,Caution
6.49,1.09,198.6,4.63,Caution
6.28,1.57,279.6,11.49,Caution
7.93,1.82,173.9,22.34,Caution
6.03,1.81,224.0,39.14,Caution
7.3,0.78,7.0,3.39,Safe
8.48,2.1,192.2,26.65,Caution
7.22,0.76,26.7,4.49,Safe
7.28,0.82,88.7,2.84,Safe
5.06,0.0,341.5,52.59,Unsafe
7.85,0.78,117.2,0.0,Safe
7.6,0.87,82.9,6.12,Safe
7.49,0.35,87.7,3.31,Safe
7.19,0.63,142.8,37.83,Caution
9.31,4.42,266.7,30.56,Unsafe
5.67,2.38,497.4,60.17,Unsafe
6.83,0.99,47.6,6.28,Safe
5.49,5.46,406.0,65.01,Unsafe
9.75,4.5,430.3,70.23,Unsafe
7.18,0.78,98.6,8.39,Safe
6.77,1.14,95.1,12.78,Caution
6.94,2.17,205.8,17.47,Caution
6.3,1.92,264.8,21.12,Caution
6.38,1.74,249.9,38.43,Caution
7.54,1.21,55.6,2.43,Safe
5.05,0.03,125.1,59.22,Unsafe
8.42,1.25,187.7,10.91,Caution
7.35,1.11,74.8,7.37,Safe
6.96,0.57,122.8,3.91,Safe
7.93,2.49,240.2,11.95,Caution
5.49,2.0,289.1,25.64,Unsafe
7.12,0.77,100.1,4.24,Safe
8.69,5.54,365.6,28.72,Unsafe
7.31,0.5,114.9,1.46,Safe
9.69,5.21,472.3,44.63,Unsafe
6.86,1.27,284.9,16.58,Caution
4.25,5.69,332.2,46.23,Unsafe
7.2,0.39,45.8,5.09,Safe
7.06,1.51,116.9,3.33,Safe
7.79,1.02,75.3,2.2,Safe
7.02,0.19,252.6,32.25,Caution
7.14,0.15,111.6,6.67,Caution
6.5,2.41,178.4,36.85,Caution
6.53,0.67,126.2,24.19,Safe
9.54,0.0,476.4,93.75,Unsafe
9.06,5.46,414.9,85.76,Unsafe
9.57,0.03,202.2,54.77,Unsafe
7.43,0.91,73.9,3.7,Safe
6.37,0.0,193.9,25.69,Caution
7.2,1.13,64.5,5.12,Safe
9.13,6.32,352.3,81.01,Unsafe
7.89,0.06,154.4,26.17,Caution
6.96,0.75,188.2,22.73,Caution
6.68,1.86,287.1,17.33,Caution
6.95,1.44,200.7,23.99,Caution
7.05,0.91,109.0,4.96,Unsafe
6.73,0.36,148.3,4.73,Safe
6.94,0.98,89.1,5.65,Safe
7.03,0.67,94.4,3.77,Safe
4.93,0.09,483.1,56.83,Unsafe
9.75,0.07,323.4,78.55,Unsafe
6.93,0.68,53.0,1.84,Safe
5.9,0.0,592.3,82.55,Unsafe
6.74,0.42,107.2,11.19,Caution
7.5,0.99,107.7,0.71,Safe
8.6,0.12,470.4,10.42,Unsafe
6.54,1.31,250.6,20.95,Caution
5.19,0.03,510.8,77.21,Unsafe
9.13,0.04,498.9,5.22,Unsafe
7.91,0.96,175.7,5.53,Caution
6.02,0.15,433.9,52.61,Unsafe
7.41,0.88,95.8,6.07,Safe
10.26,1.17,493.8,59.83,Unsafe
7.07,0.97,214.6,6.02,Caution
7.05,1.07,25.7,2.63,Safe
5.53,5.37,516.9,36.61,Unsafe
7.55,0.69,25.5,0.0,Safe
7.23,0.39,54.0,2.75,Safe
6.71,1.31,78.7,4.39,Safe
7.68,0.99,61.2,9.73,Safe
9.45,4.58,402.6,63.66,Unsafe
7.1,0.72,139.0,1.86,Safe
7.02,1.35,108.8,3.84,Safe
7.09,1.03,111.5,4.58,Safe
6.8,0.54,86.7,6.51,Safe
6.85,1.71,311.6,26.38,Caution
6.3,5.61,465.5,74.91,Unsafe
7.24,0.82,56.5,2.05,Safe
7.54,0.8,116.5,5.23,Safe
7.52,1.0,110.5,5.19,Safe
7.21,0.45,128.9,3.49,Safe
6.88,2.36,287.8,13.7,Caution
6.76,1.07,46.6,0.54,Safe
5.07,0.05,281.3,55.28,Unsafe
5.65,0.05,520.7,53.42,Unsafe
10.16,0.06,336.6,52.71,Unsafe
9.14,3.84,581.5,60.11,Unsafe
6.97,1.14,140.3,3.61,Safe
7.26,0.83,113.7,3.89,Safe
7.0,1.28,112.0,10.13,Safe
6.69,1.1,132.8,5.23,Safe
9.9,6.28,411.5,53.91,Unsafe
7.12,3.2,317.4,25.6,Unsafe
6.79,0.99,92.3,3.61,Safe
6.9,1.68,124.8,7.91,Safe
7.16,1.03,115.1,4.72,Safe
7.39,0.0,289.7,30.21,Caution
6.94,2.12,109.4,15.22,Unsafe
7.18,1.52,41.1,6.55,Safe
9.34,6.27,309.9,48.25,Unsafe
5.95,2.23,336.5,29.21,Unsafe
7.59,0.87,73.0,3.32,Safe
8.0,0.58,299.7,15.44,Caution
7.92,0.91,80.8,1.5,Safe
7.5,0.0,103.4,12.71,Caution
6.03,0.11,382.4,68.01,Unsafe
6.87,1.5,169.8,28.62,Caution
7.92,0.65,245.7,18.8,Caution
7.31,0.64,122.1,4.67,Safe
8.92,6.45,391.7,60.93,Unsafe
4.91,0.09,546.8,75.73,Unsafe
6.68,1.47,96.2,2.28,Safe
9.89,5.27,400.9,67.66,Unsafe
10.29,0.2,425.5,52.04,Unsafe
6.48,2.19,230.3,7.77,Caution
6.75,1.04,27.5,3.67,Safe
6.63,0.64,19.5,1.95,Safe
7.33,0.42,133.9,5.09,Safe
7.48,1.57,65.4,2.04,Safe
7.06,0.81,76.8,7.75,Safe
7.31,0.87,71.4,11.64,Caution
8.95,0.09,462.2,59.26,Unsafe
6.98,0.93,82.3,7.13,Safe
10.25,0.05,132.7,64.1,Unsafe
6.67,0.79,263.7,10.29,Caution
8.24,3.7,462.7,65.09,Unsafe
7.13,1.27,88.9,2.06,Safe
7.13,0.41,127.6,20.88,Caution
6.93,0.5,14.5,4.2,Safe
6.03,0.01,515.8,56.32,Unsafe
7.1,1.11,33.0,9.79,Safe
6.49,7.41,410.2,89.24,Unsafe
7.42,1.12,106.8,6.22,Safe
7.09,0.87,100.6,27.41,Safe
5.08,0.0,328.1,55.84,Unsafe
7.82,0.58,64.3,2.09,Safe
5.91,0.08,223.7,83.77,Unsafe
6.0,2.82,365.3,17.24,Unsafe
9.42,6.32,512.2,48.3,Unsafe
7.09,0.53,101.4,4.02,Safe
7.47,0.92,58.8,4.23,Safe
7.31,0.65,68.0,7.32,Safe
7.15,0.47,119.5,2.25,Safe
7.45,0.87,50.1,4.58,Safe
4.77,0.0,381.7,47.12,Unsafe
7.36,2.62,255.0,28.54,Caution
6.69,0.53,137.5,2.8,Safe
4.52,0.07,415.8,80.45,Unsafe
4.46,0.0,341.6,49.43,Unsafe
6.14,0.04,278.8,75.2,Safe
7.48,1.42,103.0,7.77,Safe
9.71,0.04,417.1,44.44,Unsafe
8.0,0.03,350.7,73.19,Unsafe
6.93,1.48,66.0,2.95,Safe
7.15,2.12,170.4,29.18,Caution
7.37,2.48,210.7,36.31,Caution
6.76,1.45,271.3,8.74,Caution
5.55,0.06,330.8,55.12,Unsafe
7.86,1.78,61.0,18.59,Caution
9.11,4.08,336.7,97.44,Unsafe
9.31,0.03,383.1,28.36,Unsafe
7.31,0.64,91.0,0.2,Safe
9.53,0.14,381.8,71.51,Unsafe
6.11,2.15,91.7,19.77,Caution
6.82,2.16,150.3,22.32,Caution
7.83,0.85,81.7,4.49,Safe
7.03,3.02,249.3,23.71,Caution
5.96,2.47,311.0,14.03,Unsafe
9.24,4.18,533.6,64.75,Unsafe
7.29,1.59,250.8,17.81,Caution
7.47,0.87,73.6,3.11,Safe
6.28,0.61,95.6,4.7,Caution
7.29,1.2,115.2,6.87,Safe
6.93,1.3,210.3,23.35,Caution
9.18,0.03,447.2,63.05,Unsafe
8.36,0.1,472.6,58.16,Unsafe
6.89,0.17,150.3,10.78,Caution
6.17,0.74,203.1,24.41,Caution
7.35,2.23,253.2,19.59,Caution
7.13,0.27,156.3,7.05,Caution
6.94,1.17,316.9,27.47,Safe
7.02,0.48,120.9,2.67,Safe
7.48,0.91,201.3,5.45,Caution
8.51,0.05,296.3,58.31,Unsafe
6.75,0.0,160.2,34.33,Caution
7.39,0.3,82.5,10.35,Unsafe
5.42,5.22,393.6,69.78,Unsafe
7.07,1.15,253.2,16.17,Caution
6.84,3.2,172.6,29.43,Safe
7.03,0.45,181.3,15.24,Caution
7.37,1.18,111.3,4.36,Safe
8.05,2.02,197.4,16.93,Caution
7.59,2.29,134.7,15.04,Caution
9.25,4.92,484.6,51.05,Unsafe
5.83,4.55,405.3,106.56,Unsafe
7.56,0.88,88.9,3.25,Safe
6.65,2.48,187.7,21.62,Caution
5.84,4.44,516.2,45.85,Unsafe
7.42,0.69,114.0,11.41,Caution
9.05,0.1,479.7,45.98,Unsafe
7.34,1.55,106.4,6.97,Safe
7.11,2.18,263.2,10.47,Caution
9.18,4.23,416.2,57.48,Unsafe
7.29,0.3,65.0,7.32,Safe
6.15,0.11,371.0,53.88,Unsafe
5.37,3.29,362.9,35.15,Unsafe
7.23,3.18,336.9,21.38,Unsafe
6.67,3.84,194.3,16.29,Caution
6.27,2.99,378.4,62.03,Unsafe
7.25,3.11,246.0,26.55,Caution
6.63,0.61,81.7,3.75,Safe
10.01,0.06,390.9,60.66,Unsafe
6.23,0.0,322.9,26.97,Unsafe
7.12,0.62,55.2,1.87,Safe
7.56,0.23,129.5,4.83,Safe
7.3,0.64,152.5,7.66,Safe
6.17,1.12,240.2,19.23,Caution
6.9,1.35,42.7,9.81,Safe
6.58,1.31,244.8,26.61,Caution
5.88,1.19,270.9,37.46,Unsafe
5.55,0.0,510.1,49.59,Unsafe
6.78,1.23,48.0,4.46,Safe
8.19,0.01,305.5,49.73,Unsafe
9.21,4.7,493.5,67.86,Unsafe
7.21,1.14,127.9,4.07,Safe
7.24,0.2,99.3,1.81,Safe
7.93,1.38,223.2,13.35,Caution
6.97,1.2,12.9,6.04,Safe
7.18,1.61,91.6,2.22,Safe
7.34,0.74,173.1,0.0,Caution
7.44,0.07,126.2,1.45,Safe
9.63,0.11,484.3,42.23,Unsafe
7.05,1.59,36.6,6.15,Safe
5.48,5.4,412.9,107.74,Unsafe
7.01,0.91,87.8,7.11,Safe
9.09,4.13,510.4,68.58,Unsafe
8.8,4.84,236.1,19.18,Unsafe
6.96,1.25,81.4,3.05,Safe
6.09,4.21,292.0,79.82,Unsafe
8.42,1.77,259.8,5.14,Caution
5.86,0.09,481.8,32.05,Safe
6.03,1.14,274.9,8.32,Caution
6.74,0.76,167.9,5.65,Safe
10.2,0.0,542.2,50.86,Unsafe
6.97,0.85,61.2,1.25,Safe
7.25,1.32,158.4,7.28,Safe
6.33,2.77,258.0,28.05,Caution
5.86,3.73,386.3,52.04,Unsafe
6.79,1.48,264.2,6.45,Caution
6.46,0.71,81.3,4.35,Caution
4.96,5.98,401.3,82.1,Unsafe
7.03,0.83,65.0,0.0,Safe
6.2,0.1,253.4,38.13,Caution
7.11,1.1,44.8,6.06,Safe
6.92,1.35,238.2,23.25,Unsafe
8.7,5.19,314.5,63.03,Unsafe
7.44,0.69,33.7,7.01,Safe
7.71,2.92,171.0,21.58,Caution
6.77,0.96,104.9,6.21,Safe
6.38,0.03,424.1,54.65,Unsafe
7.09,0.62,281.1,12.61,Caution
9.41,0.07,289.8,73.32,Unsafe
6.46,3.51,280.2,30.22,Unsafe
6.06,2.01,81.0,33.1,Caution
7.3,0.0,216.0,42.83,Caution
7.13,1.54,29.6,7.75,Safe
7.84,0.37,126.0,1.95,Safe
6.48,0.94,181.3,29.33,Caution
5.96,0.11,208.6,80.77,Unsafe
5.4,6.79,522.1,44.04,Unsafe
6.58,1.2,96.2,6.88,Safe
9.74,3.07,293.6,23.43,Caution
6.94,0.85,103.6,5.97,Safe
7.12,1.17,93.6,0.76,Safe
6.79,0.72,88.0,10.31,Caution
6.57,1.05,82.8,5.39,Safe
8.59,0.11,549.6,81.13,Unsafe
5.48,0.12,479.8,50.73,Unsafe
7.73,2.29,322.6,40.51,Unsafe
9.9,3.56,300.8,37.07,Unsafe
6.7,1.37,271.3,24.31,Caution
4.96,0.14,361.3,75.32,Unsafe
6.55,0.8,130.1,6.8,Safe
6.74,1.86,280.1,21.05,Caution
6.71,0.17,164.8,37.68,Caution
7.37,1.38,99.2,5.24,Safe
5.39,1.13,299.7,114.63,Unsafe
7.33,0.9,157.0,4.24,Caution
7.53,1.95,136.2,28.56,Caution
7.44,1.07,65.8,4.49,Safe
6.37,1.16,220.1,23.21,Caution
7.27,0.97,61.6,4.48,Safe
5.14,0.0,389.2,71.09,Unsafe
9.42,0.13,428.7,74.98,Unsafe
7.33,0.98,119.7,3.41,Safe
6.16,0.11,439.2,105.45,Unsafe
7.75,1.95,177.5,20.86,Caution
6.99,0.5,152.0,7.63,Caution
7.63,0.9,86.0,8.19,Safe
6.82,0.39,150.3,5.82,Safe
10.03,5.17,335.7,70.94,Unsafe
6.91,2.39,130.2,8.9,Safe
7.54,0.74,43.5,10.93,Safe
9.18,0.19,274.1,40.86,Unsafe
9.4,0.04,410.8,64.3,Unsafe
5.94,1.57,297.8,23.61,Unsafe
9.91,4.93,490.5,53.86,Unsafe
6.57,1.06,169.6,6.92,Caution
7.93,3.06,219.5,17.46,Caution
7.9,1.11,54.4,3.43,Safe
6.93,0.7,101.0,3.52,Safe
6.7,4.03,243.7,14.81,Unsafe
6.77,1.83,191.3,12.64,Caution
7.02,0.53,88.8,23.5,Caution
6.6,0.62,202.6,17.34,Caution
7.34,0.63,84.0,5.04,Safe
6.94,0.89,111.7,6.19,Safe
6.97,0.38,93.2,2.69,Safe
5.39,4.34,441.4,51.16,Unsafe
5.76,1.49,160.1,21.15,Unsafe
7.27,0.51,72.7,5.42,Safe
7.18,2.31,144.6,28.44,Caution
7.66,0.69,80.3,0.39,Safe
7.21,3.47,309.1,6.95,Caution
7.25,1.28,120.2,4.51,Safe
7.26,1.35,52.4,2.23,Safe
7.34,0.51,115.9,3.01,Safe
6.98,0.02,205.6,34.87,Caution
6.33,4.32,177.0,23.0,Unsafe
6.22,1.21,225.9,41.91,Caution
6.97,1.35,130.5,8.4,Safe
7.21,1.01,109.4,4.6,Safe
7.42,0.91,60.3,1.85,Safe
9.54,6.36,407.6,54.22,Unsafe
7.6,1.45,39.2,9.23,Safe
7.31,1.17,45.5,0.77,Safe
5.3,7.01,433.6,12.44,Unsafe
7.07,1.67,64.4,42.55,Caution
6.94,0.43,77.8,5.27,Safe
6.96,1.08,99.0,3.45,Safe
6.66,1.62,99.8,14.4,Caution
6.96,0.84,52.8,1.32,Safe
6.21,0.0,144.9,23.12,Caution
5.81,0.0,446.0,58.58,Unsafe
4.82,5.2,227.4,0.0,Unsafe
7.79,0.0,56.5,5.02,Caution
7.14,1.06,109.1,1.89,Safe
8.65,0.0,239.4,14.4,Caution
5.49,6.24,268.6,37.44,Unsafe
7.09,2.71,174.7,22.56,Caution
5.11,0.19,560.6,84.11,Unsafe
7.76,2.05,218.2,16.35,Caution
8.81,0.02,541.7,76.15,Unsafe
6.4,1.73,208.4,21.37,Caution
6.92,1.14,64.0,3.44,Safe
7.0,1.34,220.2,24.56,Caution
6.64,0.32,104.9,2.55,Safe
6.36,3.38,373.2,92.09,Unsafe
6.79,0.58,95.4,7.91,Safe
7.23,0.48,96.3,0.94,Safe
6.51,0.89,120.4,6.35,Safe
8.47,0.0,428.7,47.27,Unsafe
6.65,0.6,134.8,5.22,Safe
9.15,0.0,323.3,67.0,Unsafe
6.78,0.0,250.5,31.65,Caution
7.59,1.0,99.3,2.77,Safe
7.16,1.81,223.5,15.59,Caution
7.33,1.28,47.3,2.51,Safe
7.21,0.89,80.5,3.83,Safe
7.02,0.51,134.3,8.2,Caution
8.9,6.12,580.1,68.96,Unsafe
6.41,3.46,185.2,37.56,Caution
9.58,3.11,428.2,34.39,Safe
5.76,3.83,438.6,60.57,Unsafe
8.84,0.08,333.2,65.14,Unsafe
5.34,7.31,362.2,66.48,Unsafe
6.7,1.47,186.2,17.57,Caution
6.86,0.7,106.7,4.03,Safe
6.22,2.8,294.7,31.6,Caution
6.1,4.11,329.1,48.8,Unsafe
6.55,0.74,104.6,1.73,Safe
7.68,1.12,147.0,4.82,Safe
6.71,2.31,217.3,17.13,Caution
7.16,1.27,44.4,4.38,Safe
7.09,1.31,97.0,12.42,Caution
6.73,0.36,58.9,2.11,Safe
9.2,0.07,490.1,81.86,Unsafe
6.88,1.55,256.8,16.58,Caution
8.96,5.17,413.7,51.03,Unsafe
7.17,2.11,226.9,25.3,Caution
6.3,3.12,188.1,32.45,Caution
7.01,0.58,124.2,0.88,Safe
7.42,0.87,230.6,25.52,Caution
9.06,0.0,481.9,53.32,Unsafe
7.33,0.79,83.9,7.89,Safe
7.12,1.32,38.7,3.07,Safe
7.41,1.28,79.7,3.63,Safe
6.49,1.99,284.6,18.57,Caution
5.84,2.22,239.4,21.42,Unsafe
6.88,2.24,182.4,15.15,Caution
6.13,4.43,342.3,51.01,Unsafe
9.12,7.52,488.6,86.09,Unsafe
8.8,4.91,446.0,79.89,Unsafe
6.7,1.13,247.9,32.17,Caution
6.86,0.8,97.9,5.97,Safe
5.62,0.03,460.9,56.24,Unsafe
6.76,0.44,84.6,1.43,Safe
7.03,3.05,232.2,8.17,Caution
9.12,4.88,525.9,58.1,Unsafe
5.0,5.38,228.1,51.93,Unsafe
7.15,1.29,171.6,27.52,Caution
9.83,0.05,413.2,34.13,Unsafe
7.35,1.27,102.7,2.31,Safe
5.32,0.05,409.6,40.69,Safe
6.17,0.33,79.6,11.44,Caution
9.08,0.1,373.6,54.27,Unsafe
7.79,1.02,158.7,4.87,Safe
7.46,1.28,111.3,5.63,Safe
6.82,0.98,111.0,6.0,Safe
7.16,1.13,158.1,45.1,Caution
9.25,4.93,291.2,83.94,Unsafe
7.1,1.04,167.0,32.52,Caution
7.08,0.44,139.1,0.73,Safe
6.87,2.62,295.9,7.78,Caution
7.2,0.36,68.3,3.78,Safe
6.31,1.23,204.3,14.74,Caution
6.96,0.04,216.9,24.81,Caution
6.33,2.64,426.1,59.33,Unsafe
5.76,0.08,555.2,85.54,Unsafe
7.38,0.28,105.9,8.7,Safe
7.33,2.13,214.1,24.45,Caution
8.88,4.36,311.0,50.16,Unsafe
10.3,2.37,334.6,64.31,Unsafe
7.34,0.92,80.4,6.1,Safe
9.6,0.12,437.3,47.53,Caution
7.31,0.91,91.5,5.74,Safe
7.55,0.91,214.3,9.65,Caution
6.5,1.53,216.4,51.96,Caution
5.8,0.0,351.1,88.13,Unsafe
7.05,0.9,54.8,9.95,Safe
7.09,0.36,191.3,0.48,Safe
7.18,2.12,273.0,29.71,Caution
7.22,0.45,88.8,5.16,Safe
8.1,2.67,221.5,19.83,Caution
6.94,1.01,82.0,6.5,Safe
7.63,1.12,115.4,8.57,Safe
4.91,4.2,287.0,47.03,Unsafe
7.68,0.24,139.7,7.81,Safe
10.2,6.12,471.3,40.35,Unsafe
7.64,0.83,238.8,22.68,Caution
6.74,2.31,128.0,16.83,Unsafe
7.21,0.69,146.7,6.09,Safe
7.14,2.34,177.2,32.52,Caution
7.68,0.9,118.5,2.89,Safe
8.91,0.03,470.1,82.36,Unsafe
5.97,4.38,457.2,35.41,Unsafe
7.23,0.91,53.3,7.41,Safe
7.41,0.21,237.9,28.76,Caution
7.06,1.03,203.3,26.41,Caution
7.27,0.51,141.2,7.43,Safe
6.7,0.33,61.0,5.86,Safe
7.59,0.69,85.1,1.73,Safe
6.83,0.14,79.3,31.43,Caution
5.97,0.0,507.9,36.05,Unsafe
7.74,1.29,226.4,9.21,Safe
7.79,2.06,141.3,28.71,Caution
7.1,0.89,121.3,3.01,Safe
6.3,0.03,167.6,21.52,Caution
4.77,3.19,442.3,87.5,Caution
8.89,4.97,439.9,66.07,Unsafe
7.1,1.28,192.8,8.64,Caution
